id originale,Cote,Auteur.trice,Titre,Année originale,Année,Genre textuel,Domaine,Page,cotexte gauche,pivot (cible),cotexte droit,-5,-4,-3,-2,-1,TEMPS (forme),pour/à (forme),SOI (forme),1,2,3,tri,tri_notes,TEMPS (u.l.),pour/à (u.l.),SOI (u.l.),TEMPS_nombre,SOI_personne,SOI_nombre,verbe combiné (u.l.),verbe_mode,négation
1,Q996,BOSSUET Jacques-Bénigne,Méditations sur l'Évangile,1704,1704,non renseigné,non renseigné,518,"auroit puissance de me livrer , si je ne me livrois moy -mesme le premier pour obéir à mon père . "" c' est ce qu' il confirme par les paroles suivantes : "" je n' ay plus guère de",temps pour vous,"parler . Le prince de ce monde arrive et il n' a rien en moy ; il anime les juifs et je les voi avancer par son instinct . Il n' a aucun droit sur moy , parce que je suis sans péché ;",n',ay,plus,guère,de,temps,pour,vous,parler,.,Le,,,,,,,,,,,
2,N662,CRÉBILLON Prosper JOLYOT de,Idoménée,1706,1706,Ecrits fictionnels,non renseigné,39,"où vient que je vous vois interdite et tremblante ? Craignez -vous d' exciter les plaintes d' Idamante ? ÉRIXÈNE . Hélas ! si près des maux où je vais le plonger , Un seul",moment pour lui,"ne puis -je m' affliger ? Que veux -tu ? je frémis du spectacle barbare Que mon juste courroux en ces lieux lui prépare : Je sens trop , par les pleurs que je verse aujourd'hui",le,plonger,",",Un,seul,moment,pour,lui,ne,puis,-je,non,,moment,pour,lui,sing,3,sing,,,
3,E457,MALEBRANCHE Nicolas,Traité de morale,1707,1707,Ecrits non fictionnels,"philosophie, épistémologie",109,"nous en pouvons porter , Dieu suppléera en nous l' équivalent de ce que nous eussions pu obtenir par le travail de la méditation . Nous trouverons même toujours assez de",temps pour nous,"examiner sur nos devoirs , si ce n' est point l' ambition , ou l' intérêt qui nous anime dans l' exercice de notre emploi . XI . Tout le monde sait assez quelles sont les choses",trouverons,même,toujours,assez,de,temps,pour,nous,examiner,sur,nos,non,,temps,pour,nous,sing,1,plur,,,
4,Q434,TYSSOT DE PATOT Simon,Voyages et avantures de Jaques Massé : t. 2,1710,1710,Ecrits non fictionnels,non renseigné,16,", cela lui donne occasion de s' attacher au premier sujet qui se presente : mais revenons à notre amourette . Le quatriéme jour avant midi , que le roi venoit passer un",moment à nous,"voir travailler ; je crus dès l' abord qu' il avoit assûrément eu le vent de quelque chose : car regardant fixement La Forêt , il lui dit : vous avez quelque chagrin , mon ami",le,roi,venoit,passer,un,moment,à,nous,voir,travailler,;,,,,,,,,,,,
5,N652,CRÉBILLON Prosper JOLYOT de,Rhadamiste et Zénobie,1711,1711,Ecrits fictionnels,non renseigné,262,", Crains que l' amour , armé de mes foibles attraits , Ne te rende bientôt tous les maux qu' il m' a faits . Et qu' ai -je à ménager ? Mânes de Mithridate , N' est -il pas",temps pour vous,"que ma vengeance éclate ? Venez à mon secours , ombre de mon époux , Et remplissez mon coeur de vos transports jaloux . Vengez -vous par mes mains d' un ennemi funeste ;",",",N',est,-il,pas,temps,pour,vous,que,ma,vengeance,,,,,,,,,,,
6,N652,CRÉBILLON Prosper JOLYOT de,Rhadamiste et Zénobie,1711,1711,Ecrits fictionnels,non renseigné,306,"lieux À des infortunés qu' abandonnent les dieux . Cher ami , s' il est vrai que mon père inflexible Aux malheurs de son fils te laisse un coeur sensible , Dans mes derniers",momens à toi,"seul j' ai recours . Je ne demande point que tu sauves mes jours ; Ne crains pas que pour eux j' ose rien entreprendre : Mais si tu connoissois le sang qu' on va répandre , Au prix",sensible,",",Dans,mes,derniers,momens,à,toi,seul,j',ai,,,,,,,,,,,
7,Q327,CHALLES Robert,"Les Illustres Françoises : histoires véritables (par Chasles, Robert)",1713,1713,Ecrits fictionnels,non renseigné,27,"toujours été sage , j' espére que vous la serez toujours . Je ne vous en parlerai jamais , je vous le promets , mais ne me donnez point lieu d' agir ; car il ne faudroit qu' un",moment pour vous,"rendre malheureuse , et pour vous faire pleurer toute votre vie . Après cela il se tût , et lui a tenu parole : car depuis ce tems là , il ne lui en a jamais ouvert la bouche . Il",il,ne,faudroit,qu',un,moment,pour,vous,rendre,malheureuse,",",,,,,,,,,,,
8,Q327,CHALLES Robert,"Les Illustres Françoises : histoires véritables (par Chasles, Robert)",1713,1713,Ecrits fictionnels,non renseigné,176,"tous les jours ; et insensiblement l' amour s' en mêla sans que je m' en aperçusse . Il avoit été impossible , pendant tant de tems , que nous n' eussions pas trouvé quelque",moment à nous,"parler en particulier . J' avois remarqué dans elle tant de bonnes qualitez , que j' étois venu à l' aimer trop pour mon repos . Il me paroissoit qu' elle ne me regardoit pas",n',eussions,pas,trouvé,quelque,moment,à,nous,parler,en,particulier,,,,,,,,,,,
9,Q327,CHALLES Robert,"Les Illustres Françoises : histoires véritables (par Chasles, Robert)",1713,1713,Ecrits fictionnels,non renseigné,200,"à leur maître ou à leur maîtresse . L' allégresse fut entiére , le notaire , Duval et moi , pendant que les mariez étoient dans l' église avec le curé , passâmes le",tems à nous,"promener . Nous fîmes boire les valets à la santé de leurs maîtres . Minuit sonna , nous allâmes tous à l' église , le mariage y fut célébré et l' enfant légitimé .",le,curé,",",passâmes,le,tems,à,nous,promener,.,Nous,,,,,,,,,,,
10,Q327,CHALLES Robert,"Les Illustres Françoises : histoires véritables (par Chasles, Robert)",1713,1713,Ecrits fictionnels,non renseigné,225,"? Je vous en instruirai , repris -je , quand j' aurai donné ordre à tout , reposez -vous sur moi , j' ai trop d' amour pour n' avoir pas d' impatience , et je ne perdrai aucun",temps pour nous,"rendre heureux . Mais de quelle maniére , ajoutai -je , vous faire rendre vos lettres et recevoir vos réponses ? Ce n' est pas là le plus difficile , dit -elle , j' y ai songé",et,je,ne,perdrai,aucun,temps,pour,nous,rendre,heureux,.,,,,,,,,,,,
11,S881,GALLAND Antoine,Les Mille et une nuits : t. 2,1715,1715,Ecrits fictionnels,non renseigné,243,", il se prosterna et il baisa cette place plusieurs fois , les larmes aux yeux , en s' écriant : «  Mon pauvre frère ! que je suis malheureux de n' être pas arrivé assez à",temps pour vous,"embrasser encore une fois avant votre mort !   » Quoique la mère d' Aladdin l' en priât , jamais il ne voulut s' asseoir à la même place : «  Non , dit -il , je m' en garderai",être,pas,arrivé,assez,à,temps,pour,vous,embrasser,encore,une,,,,,,,,,,,
12,S881,GALLAND Antoine,Les Mille et une nuits : t. 2,1715,1715,Ecrits fictionnels,non renseigné,299,"que vous savez faire , je suis persuadée que rien n' y manquera . Je ne dois pas oublier de vous dire encore que le sultan vous attend avec impatience ; ainsi , ne perdez pas de",temps à vous,"rendre auprès de lui . Aladdin , charmé de cette nouvelle et tout plein de l' objet qui l' avait enchanté , dit peu de paroles à sa mère et se retira dans sa chambre . Là ,",",",ne,perdez,pas,de,temps,à,vous,rendre,auprès,de,non,,temps,à,vous,sing,2,?,,,
13,E466,LA FAYETTE Madame de,La Comtesse de Tende,1718,1718,Ecrits fictionnels,littérature,495,"furent violentes , mais comme il était sage , il retint ses premiers mouvements et résolut de partir le lendemain à la pointe du jour sans voir sa femme , remettant au",temps à lui,"donner plus de certitude et à prendre ses résolutions . Quelque abîmée que fût Mme de Tende dans sa douleur , elle n' avait pas laissé de s' apercevoir du peu de pouvoir",sa,femme,",",remettant,au,temps,à,lui,donner,plus,de,non,,temps,à,lui,sing,3,sing,,,
